group,scene,run_id,variant,iteration,lambda,feat_dim,mlp_quant,psnr,ssim,lpips,total_mb,anchors_trained,anchors_coded,metric_type,metric_value,notes,source,method_rank
phg_mlp_quant,DB-drjohnson,db_drjohnson_i6_110k_h32_l0p002,drjohnson 110k + MLP 量化,110000,0.002,50,cd8_rest16,30.0376,0.9112,0.2459,6.8549,252965,,render_metrics,,attr_MB=6.6902 mlp_payload=0.1647,mlp_quant results.json,
phg_spa,DB-playroom,spa_db_playroom_30k_base,SPA 基线(无 SPA),30000,0.002,50,float32,30.872,0.9134,0.2594,4.1831,338560,168626,render_metrics,,编码端 mask_anchor 已滤掉一半,SPA report,
phg_spa,DB-playroom,spa_db_playroom_30k_topk05,MaskTopk-only 0.5,30000,0.002,50,float32,30.872,0.9134,0.2594,4.1958,338560,169280,render_metrics,,与基线几乎相同,SPA report,
phg_spa,DB-playroom,spa_db_playroom_30k_topk010,MaskTopk-only 0.1026,30000,0.002,50,float32,24.120,0.8399,0.3714,1.4740,338560,34736,render_metrics,,对齐 SPA 编码锚点数,SPA report,
phg_spa,DB-playroom,spa_db_playroom_30k_spa,SPA-anchor ratio=0.5,30000,0.002,50,float32,29.639,0.8948,0.3106,1.0835,50741,34722,render_metrics,,同锚点数比 topk 高 5.52dB 且更小; 阶段A通过,SPA report,
phg_p0,4-28,4-28_i6_90k_h32,P0 H_base(scaling+offsets 熵),90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3826,,P0 report,
phg_p0,4-28,4-28_i6_90k_h32,P0-1 feat 条件化 h64/400,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3755,gain +1.86% 关闭,P0 report,
phg_p0,4-28,4-28_i6_90k_h32,P0-1 feat 条件化 h128/1500,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3738,gain +2.30% 关闭,p0_offline_big.json,
phg_p0,4-28,4-28_i6_90k_h32,P0-2 邻居均值池化 k8,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3821,gain +0.13% 关闭,P0 report,
phg_p0,4-28,4-28_i6_90k_h32,P0-2 邻居均值池化 k16,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3822,gain +0.09% 关闭,P0 report,
phg_p0,4-28,4-28_i6_90k_h32,P0-2 邻居均值池化 k32,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3824,gain +0.06% 关闭,P0 report,
phg_p0,4-28,4-28_i6_90k_h32,P0-2 原始邻居特征 k8/s1500,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3816,gain +0.257% 关闭,p0_offline_rawctx_s1500.json,
phg_p0,4-28,4-28_i6_90k_h32,P0-2 原始邻居特征 k16/s1500,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3817,gain +0.247% 关闭,p0_offline_rawctx_s1500.json,
phg_p0,4-28,4-28_i6_90k_h32,P0-2 原始邻居特征 k32/s1500,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3819,gain +0.177% 关闭,p0_offline_rawctx_s1500.json,
phg_p0,4-28,4-28_i6_90k_h32,P0-reverse H_feat_base,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.6038,,p0_offline_reverse.json,
phg_p0,4-28,4-28_i6_90k_h32,P0-reverse H_so_base,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.3924,,p0_offline_reverse.json,
phg_p0,4-28,4-28_i6_90k_h32,P0-reverse 条件熵最佳 h64/s1500,90000,0.004,50,float32,,,,,259061,,entropy_MB,0.6013,gain +0.421% 关闭; delta_rev=0.0025MB,p0_offline_reverse.json,
phg_r,4-28,4-28_i6_90k_h32_l0p002,R H_base(feat+scaling+offsets 熵),90000,0.002,50,float32,,,,,338130,,entropy_MB,1.5328,feat=0.9589 scaling=0.3333 offsets=0.2406,residual_feasibility.json,
phg_r,4-28,4-28_i6_90k_h32_l0p002,R0 拉普拉斯残差,90000,0.002,50,float32,,,,,338130,,so_gain_pct,0.112,净省 0.00064MB 无增益,residual_feasibility.json,
phg_r,4-28,4-28_i6_90k_h32_l0p002,R1 ctx MLP 拉普拉斯 h64/s1500,90000,0.002,50,float32,,,,,338130,,so_gain_pct,-9.661,关闭,residual_feasibility.json,
phg_r,4-28,4-28_i6_90k_h32_l0p002,R2 跨字段拉普拉斯 h64/s1500,90000,0.002,50,float32,,,,,338130,,so_gain_pct,-9.457,净省 -0.10024MB 关闭,residual_feasibility.json,
phg_r,4-28,4-28_i6_90k_h32_l0p002,R2 跨字段高斯 h64/s1500,90000,0.002,50,float32,,,,,338130,,so_gain_pct,-32.202,关闭,residual_feasibility.json,
phg_r,4-28,4-28_i6_90k_h32_l0p002,R3 feat 通道 delta,90000,0.002,50,float32,,,,,338130,,total_gain_pct,-45.634,关闭,residual_feasibility.json,
phg_r,4-28,4-28_i6_90k_h32_l0p002,R4 条件均值+log-scale h64/s1500,90000,0.002,50,float32,,,,,338130,,so_gain_pct,11.931,净省 0.00925MB; 阶段A整体 close 但 R4 可作可选路径,residual_feasibility.json,
phg_codec_efficiency,4-28,4-28_i6_90k_h32,feat,90000,0.004,50,float32,,,,,259061,,efficiency,1.0042,actual=23065952 est=22970156.88 bits,codec_efficiency.py,
phg_codec_efficiency,4-28,4-28_i6_90k_h32,scaling,90000,0.004,50,float32,,,,,259061,,efficiency,0.9634,actual=9409976 est=9767245.48 bits,codec_efficiency.py,
phg_codec_efficiency,4-28,4-28_i6_90k_h32,offsets,90000,0.004,50,float32,,,,,259061,,efficiency,1.0018,actual=5871984 est=5861708.90 bits,codec_efficiency.py,
phg_codec_efficiency,4-28,4-28_i6_90k_h32,masks,90000,0.004,50,float32,,,,,259061,,efficiency,1.0066,actual=1458712 est=1449125.83 bits,codec_efficiency.py,
phg_codec_efficiency,4-28,4-28_i6_90k_h32,hash,90000,0.004,50,float32,,,,,259061,,efficiency,1.0314,actual=214864 est=208325.03 bits,codec_efficiency.py,
phg_codec_efficiency,4-28,4-28_i6_90k_h32,total,90000,0.004,50,float32,,,,,259061,,efficiency,0.9942,actual=40021488 est=40256562.13 bits,codec_efficiency.py,
phg_i6_sweep,4-28,4-28_i6_90k_h32,i6_sweep_fixed formula,6000,0.004,50,float32,20.43,0.789,0.3865,10.7662,,,,,6k probe; 替换方案相关,i6_sweep_fixed.json,
phg_i6_sweep,4-28,4-28_i6_90k_h32,i6_sweep_fixed strength=0.5,6000,0.004,50,float32,21.1876,0.7864,0.3885,9.9341,,,,,delta -0.8321MB,i6_sweep_fixed.json,
phg_i6_sweep,4-28,4-28_i6_90k_h32,i6_sweep_fixed strength=1.0,6000,0.004,50,float32,20.6775,0.7732,0.4,9.6084,,,,,delta -1.1578MB,i6_sweep_fixed.json,
phg_i6_sweep,4-28,4-28_i6_90k_h32,i6_sweep_fixed strength=2.0,6000,0.004,50,float32,19.6419,0.7552,0.4164,9.3324,,,,,delta -1.4338MB,i6_sweep_fixed.json,
phg_i6_sweep,4-28,4-28_i6_90k_h32,i6 相关性 gate(feat/scaling/offsets),90000,0.004,50,float32,,,,,259061,,correlation,0.0042,feat=-0.0003 scaling=0.0042 offsets=0.0006; 关闭,i6_sweep_fixed.json,
phg_i6_sweep,4-28,4-28_i6_90k_h32,I6 替换方案相关性 gate 最佳,90000,0.004,50,float32,,,,,259061,,correlation,0.0086,输入集 A/B/C 最大 0.0086 < 0.3 关闭,sens_replace_gate.json,
phg_i6_sweep,4-28,4-28_i6_90k_h32,sensitivity_side_info baseline_formula,90000,0.004,50,float32,28.6551,0.8921,0.2767,5.5604,,,,,真值侧信息 s0.5_true 28.6846/5.7143 更大; 关闭,sensitivity_side_info.json,
phg_i6_sweep,4-28,4-28_i6_90k_h32,sensitivity_side_info s0.5_N8,90000,0.004,50,float32,28.6806,0.8923,0.2765,5.9867,,,,,raw; ctx 版本 6.0017MB,sensitivity_side_info.json,
phg_i5,4-28,4-28_i6_90k_h32,I5 scalar(VQ 基线),90000,0.004,50,float32,28.6371,0.8922,0.2767,5.5242,257702,,,,关闭,i5_rd.json,
phg_i5,4-28,4-28_i6_90k_h32,I5 d4_4_4_4_ca,90000,0.004,50,float32,23.5921,0.7892,0.3593,16.6199,257702,,,,关闭,i5_rd.json,
phg_i5,4-28,4-28_i6_90k_h32,I5 d4_4_4_4_ca_dither,90000,0.004,50,float32,22.8295,0.7744,0.3732,16.7285,257702,,,,关闭,i5_rd.json,
phg_i5,4-28,4-28_i6_90k_h32,I5 e8_8_4_4_ca,90000,0.004,50,float32,23.9996,0.8016,0.3476,18.5074,257702,,,,关闭,i5_rd.json,
baseline,4-28,old_ours_90k,旧 ours 90k(CT_HAC 前版本),90000,,,,28.563,0.8882,0.2982,6.3547,,,,,对比基线,PHG docs,
baseline,4-28,hacpp_paper,HAC++ 论文,90000,,,,28.311,0.89,0.2932,6.9462,,,,,论文对照,PHG docs,
baseline,DB-playroom,haC_plus_highrate,HAC++ highrate,110000,,,,30.9313,0.91297,0.25488,4.5635,522152,,,,survey 单场景,survey repo,
baseline,DB-playroom,haC_plus_lowrate,HAC++ lowrate,110000,,,,30.6874,0.90887,0.26791,2.5358,266328,,,,survey 单场景,survey repo,
baseline,DB-playroom,hac_highrate,HAC highrate,110000,,,,30.8384,0.90567,0.26161,5.2775,448521,,,,survey 单场景,survey repo,
baseline,DB-playroom,hac_lowrate,HAC lowrate,110000,,,,30.4394,0.90232,0.27239,3.3065,380598,,,,survey 单场景,survey repo,
baseline,DB-playroom,contextgs_high,ContextGS highrate,110000,,,,30.933,0.90974,0.2682,5.6716,,,,,survey 单场景,survey repo,
baseline,DB-playroom,contextgs_low,ContextGS lowrate,110000,,,,30.512,0.90811,0.26873,3.1256,,,,,survey 单场景,survey repo,
baseline,DB-playroom,smolgs_large,Smol-GS large,110000,,,,30.6682,0.90852,0.25668,2.9548,266668,,,,survey 单场景,survey repo,
baseline,DB-playroom,smolgs_base,Smol-GS base,110000,,,,30.6173,0.90668,0.26082,2.3899,211473,,,,survey 单场景,survey repo,
baseline,DB-playroom,compgs_3points,CompGS 3 档,110000,,,,30.044/29.593/29.614,0.900/0.895/0.894,0.287/0.305/0.305,7.496/5.695/5.303,177280/181368/219789,,,,survey 单场景 3 个码率点,survey repo,
baseline,DB-playroom,scaffold_gs,HAC++/Scaffold 未压缩基线,110000,,,,30.21,0.906,0.254,66,,,,,survey 聚合(两场景均值),survey aggregate,
phg_mlp_quant_ablation,4-28,mlp_quant_sweep_b32,all 32-bit,90000,0.004,50,32,28.6551,0.8921,0.2767,5.5604,,259061,render_metrics,,mlp_payload=0.3320 attr=5.2284,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sweep_b16,all 16-bit,90000,0.004,50,16,28.6551,0.8921,0.2767,5.4210,,259061,render_metrics,,mlp_payload=0.1926 attr=5.2284,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sweep_b8,all 8-bit,90000,0.004,50,8,28.5765,0.8917,0.2771,5.6181,,259061,render_metrics,,mlp_payload=0.1273 attr=5.4908,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sweep_b6,all 6-bit,90000,0.004,50,6,27.2459,0.8830,0.2856,6.5003,,259061,render_metrics,,mlp_payload=0.0882 attr=6.4120,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sweep_b4,all 4-bit,90000,0.004,50,4,20.3864,0.7898,0.3837,9.1215,,259061,render_metrics,,mlp_payload=0.0591 attr=9.0623,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_mlp_opacity,8-bit only mlp_opacity,90000,0.004,50,8bit_group,28.6011,0.8919,0.2769,5.2350,,259061,render_metrics,,mlp_payload=0.0066 attr=5.2284,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_mlp_cov,8-bit only mlp_cov,90000,0.004,50,8bit_group,28.6376,0.8920,0.2769,5.2390,,259061,render_metrics,,mlp_payload=0.0106 attr=5.2284,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_mlp_color,8-bit only mlp_color,90000,0.004,50,8bit_group,28.6458,0.8921,0.2769,5.2368,,259061,render_metrics,,mlp_payload=0.0084 attr=5.2284,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_mlp_grid,8-bit only mlp_grid,90000,0.004,50,8bit_group,28.6584,0.8922,0.2767,5.5180,,259061,render_metrics,,mlp_payload=0.0398 attr=5.4782,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_mlp_deform,8-bit only mlp_deform,90000,0.004,50,8bit_group,28.6551,0.8921,0.2767,5.2963,,259061,render_metrics,,mlp_payload=0.0592 attr=5.2371,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_mlp_complexity,8-bit only mlp_complexity,90000,0.004,50,8bit_group,28.6553,0.8921,0.2767,5.2341,,259061,render_metrics,,mlp_payload=0.0027 attr=5.2314,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_8bit_nogrid,8-bit except mlp_grid,90000,0.004,50,8bit_nogrid,28.5722,0.8917,0.2772,5.3276,,259061,render_metrics,,mlp_payload=0.0875 attr=5.2401,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_cd8_rest16,mixed cd8/rest16 (90k),90000,0.004,50,cd8_rest16,28.6559,0.8921,0.2767,5.4052,,259061,render_metrics,,mlp_payload=0.165 attr=5.2401,5090 mlp_quant results,
phg_mlp_quant_ablation,4-28,mlp_quant_sens_cd8_rest16_110k,mixed cd8/rest16 (110k),110000,0.004,50,cd8_rest16,28.8235,0.8926,0.2771,5.4852,,254921,render_metrics,,mlp_payload=0.165 attr=5.3202,5090 mlp_quant results,
phg_db_ablation,DB-playroom,db_playroom_i6_110k_h32_l0p002_ablation_i2off,lambda=0.002 ablation I2-off (I6 off too) baseline float32,110000,0.002,50,float32,30.728597246367357,0.9128845292946388,0.25627637680234583,4.4143,,148161,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_db_ablation,DB-playroom,db_playroom_i6_110k_h32_l0p002_ablation_i2off,lambda=0.002 ablation I2-off (I6 off too) MLP quant cd8_rest16,110000,0.002,50,cd8_rest16,30.7289,0.9129,0.2563,4.257,,148161,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_db_ablation,DB-playroom,db_playroom_i6_110k_h32_l0p002_ablation_i6off,lambda=0.002 ablation I6-off baseline float32,110000,0.002,50,float32,30.667108141142748,0.9122857985825374,0.25766993904935903,4.4668,,151320,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_db_ablation,DB-playroom,db_playroom_i6_110k_h32_l0p002_ablation_i6off,lambda=0.002 ablation I6-off MLP quant cd8_rest16,110000,0.002,50,cd8_rest16,30.6655,0.9123,0.2577,4.3052,,151320,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_db_ablation_30k,DB-playroom,db_playroom_i6_30k_h32_l0p002_ablation_i2off,lambda=0.002 ablation I2-off (I6 off too) baseline float32,30000,0.002,50,float32,31.013122098199254,0.9141277526987011,0.25715664234654656,4.1157,,165079,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_db_ablation_30k,DB-playroom,db_playroom_i6_30k_h32_l0p002_ablation_i2off,lambda=0.002 ablation I2-off (I6 off too) MLP quant cd8_rest16,30000,0.002,50,cd8_rest16,31.0131,0.9141,0.2572,3.9505,,165079,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_db_ablation_30k,DB-playroom,db_playroom_i6_30k_h32_l0p002_ablation_i6off,lambda=0.002 ablation I6-off baseline float32,30000,0.002,50,float32,30.928085327148438,0.9128675173068869,0.25950652669216023,4.2039,,163566,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_db_ablation_30k,DB-playroom,db_playroom_i6_30k_h32_l0p002_ablation_i6off,lambda=0.002 ablation I6-off MLP quant cd8_rest16,30000,0.002,50,cd8_rest16,30.9285,0.9129,0.2595,4.0378,,163566,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_spa_110k,DB-playroom,db_playroom_i6_110k_h32_l0p002_spa0p5,lambda=0.002 SPA ratio=0.5 (110k) baseline float32,110000,0.002,50,float32,29.890774167817213,0.896295257683458,0.30719929214181574,1.1292,,32848,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_spa_110k,DB-playroom,db_playroom_i6_110k_h32_l0p002_spa0p5,lambda=0.002 SPA ratio=0.5 (110k) MLP quant cd8_rest16,110000,0.002,50,cd8_rest16,29.9003,0.8964,0.3072,0.9639,,32848,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-flowers,mip360_flowers_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k baseline float32,30000,0.002,50,float32,21.36965560913086,0.5763589997183193,0.3738724250685085,14.9354,,547566,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-flowers,mip360_flowers_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k MLP quant cd8_rest16,30000,0.002,50,cd8_rest16,21.3693,0.5764,0.3739,14.7759,,547566,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-flowers,mip360_flowers_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k baseline float32,30000,0.004,50,float32,21.35466159473766,0.5742653080008246,0.37887117808515375,11.5624,,495254,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-flowers,mip360_flowers_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k MLP quant cd8_rest16,30000,0.004,50,cd8_rest16,21.3549,0.5743,0.3789,11.4021,,495254,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-garden,mip360_garden_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k baseline float32,30000,0.002,50,float32,27.288723866144817,0.8348689079284668,0.16401366020242372,16.2612,,541977,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-garden,mip360_garden_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k MLP quant cd8_rest16,30000,0.002,50,cd8_rest16,27.2887,0.8349,0.164,16.0983,,541977,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-garden,mip360_garden_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k baseline float32,30000,0.004,50,float32,27.11559494336446,0.8267905861139297,0.179361242800951,12.3399,,489813,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-garden,mip360_garden_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k MLP quant cd8_rest16,30000,0.004,50,cd8_rest16,27.1157,0.8268,0.1794,12.1707,,489813,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-stump,mip360_stump_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k baseline float32,30000,0.002,50,float32,26.58709168434143,0.7596466913819313,0.27014442440122366,13.7277,,436634,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-stump,mip360_stump_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k MLP quant cd8_rest16,30000,0.002,50,cd8_rest16,26.5879,0.7596,0.2701,13.5614,,436634,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-stump,mip360_stump_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k baseline float32,30000,0.004,50,float32,26.578014850616455,0.7583711370825768,0.2765505574643612,10.5842,,378897,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_mip360_rd,Mip360-stump,mip360_stump_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k MLP quant cd8_rest16,30000,0.004,50,cd8_rest16,26.5778,0.7584,0.2765,10.4206,,378897,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_tandt_rd,TNT-train,tandt_train_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k baseline float32,30000,0.002,50,float32,22.481398557361803,0.8356074235941234,0.2200336958232679,8.3811,,280672,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_tandt_rd,TNT-train,tandt_train_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k MLP quant cd8_rest16,30000,0.002,50,cd8_rest16,22.4837,0.8357,0.22,8.222,,280672,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_tandt_rd,TNT-train,tandt_train_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k baseline float32,30000,0.004,50,float32,22.494976495441637,0.8333001528915606,0.22401797300890872,6.9195,,272653,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_tandt_rd,TNT-train,tandt_train_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k MLP quant cd8_rest16,30000,0.004,50,cd8_rest16,22.4747,0.8326,0.224,6.7568,,272653,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_tandt_rd,TNT-truck,tandt_truck_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k baseline float32,30000,0.002,50,float32,25.933749675750732,0.8881524838507175,0.17217998066917062,10.0664,,370950,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_tandt_rd,TNT-truck,tandt_truck_i6_30k_h32_l0p002,lambda=0.002 lambda-RD 30k MLP quant cd8_rest16,30000,0.002,50,cd8_rest16,25.9321,0.8882,0.1722,9.9022,,370950,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
phg_tandt_rd,TNT-truck,tandt_truck_i6_30k_h32_l0p004,lambda=0.004 lambda-RD 30k baseline float32,30000,0.004,50,float32,25.939057409763336,0.8870338965207338,0.17599129304289818,7.8927,,329639,render_metrics,,queued DB-ablation/Mip360/T&T (new optimal config),collect_queue_results.py,
